sst,chlo,pico_biom,nano_biom,micro_biom,phyto_slope,phyto_int,phyto_max
0,0.03162277660168379,0.020726111273172778,0.005562762190253081,0.0022213092116132303,-1.190409110440535,-5.029003859615288,-8.200000000000001
10,0.03162277660168379,0.020726111273172778,0.005562762190253081,0.0022213092116132303,-1.190409110440535,-5.029003859615288,-8.200000000000001
20,0.03162277660168379,0.020726111273172778,0.005562762190253081,0.0022213092116132303,-1.190409110440535,-5.029003859615288,-8.200000000000001
30,0.03162277660168379,0.020726111273172778,0.005562762190253081,0.0022213092116132303,-1.190409110440535,-5.029003859615288,-8.200000000000001
0,0.1,0.047456116062989266,0.022833086344842348,0.009143621064596525,-1.1059091908406185,-3.5495067234534368,-8.200000000000001
10,0.1,0.047456116062989266,0.022833086344842348,0.009143621064596525,-1.1059091908406185,-3.5495067234534368,-8.200000000000001
20,0.1,0.047456116062989266,0.022833086344842348,0.009143621064596525,-1.1059091908406185,-3.5495067234534368,-8.200000000000001
30,0.1,0.047456116062989266,0.022833086344842348,0.009143621064596525,-1.1059091908406185,-3.5495067234534368,-8.200000000000001
0,0.31622776601683794,0.07798378279605671,0.09459716588589757,0.04872852227860954,-0.9720420575592529,-1.584554112026909,-8
10,0.31622776601683794,0.07798378279605671,0.09459716588589757,0.04872852227860954,-0.9720420575592529,-1.584554112026909,-8
20,0.31622776601683794,0.07798378279605671,0.09459716588589757,0.04872852227860954,-0.9720420575592529,-1.584554112026909,-8
30,0.31622776601683794,0.07798378279605671,0.09459716588589757,0.04872852227860954,-0.9720420575592529,-1.584554112026909,-8
0,1,0.0799869924803367,0.25473150597750166,0.28187650340364384,-0.8323122348033903,0.21960915838566722,-7.5
10,1,0.0799869924803367,0.25473150597750166,0.28187650340364384,-0.8323122348033903,0.21960915838566722,-7.5
20,1,0.0799869924803367,0.25473150597750166,0.28187650340364384,-0.8323122348033903,0.21960915838566722,-7.5
30,1,0.0799869924803367,0.25473150597750166,0.28187650340364384,-0.8323122348033903,0.21960915838566722,-7.5
0,3.1622776601683795,0.07062254284427018,0.33887131211157123,1.308414532201747,-0.7729695155073367,0.9173751645491587,-7
10,3.1622776601683795,0.07062254284427018,0.33887131211157123,1.308414532201747,-0.7729695155073367,0.9173751645491587,-7
20,3.1622776601683795,0.07062254284427018,0.33887131211157123,1.308414532201747,-0.7729695155073367,0.9173751645491587,-7
30,3.1622776601683795,0.07062254284427018,0.33887131211157123,1.308414532201747,-0.7729695155073367,0.9173751645491587,-7
0,10,0.062221912001943,0.3063214195265922,4.417757591697849,-0.7692553287983124,0.9092492140703524,-7
10,10,0.062221912001943,0.3063214195265922,4.417757591697849,-0.7692553287983124,0.9092492140703524,-7
20,10,0.062221912001943,0.3063214195265922,4.417757591697849,-0.7692553287983124,0.9092492140703524,-7
30,10,0.062221912001943,0.3063214195265922,4.417757591697849,-0.7692553287983124,0.9092492140703524,-7
