,Flagellates,Ciliates,Larvaceans,OmniCopepods,CarnCopepods,Euphausiids,Chaetognaths,Salps,Jellyfish,Fish_Small,Fish_Med,Fish_Large
Flagellates,1,1,0,0,0,0,0,0,0,0,0,0
Ciliates,1,1,0,0,0,0,0,0,0,0,0,0
Larvaceans,1,1,1,1,1,1,1,1,1,1,1,1
OmniCopepods,1,1,1,1,1,1,1,1,1,1,1,1
CarnCopepods,1,1,1,1,1,1,1,1,1,1,1,1
Euphausiids,1,1,1,1,1,1,1,1,1,1,1,1
Chaetognaths,1,1,1,1,1,1,1,1,1,1,1,1
Salps,1,1,1,1,1,1,1,1,1,1,1,1
Jellyfish,1,1,1,1,1,1,1,1,1,1,1,1
Fish_Small,1,1,1,1,1,1,1,1,1,1,1,1
Fish_Med,1,1,1,1,1,1,1,1,1,1,1,1
Fish_Large,1,1,1,1,1,1,1,1,1,1,1,1
